Cod.IBGE,Instituição,UF,Valor
3547304,Prefeitura Municipal de Santana de Parnaíba - SP,SP,1745841393.61
3529401,Prefeitura Municipal de Mauá - SP,SP,1724832883.7
3526902,Prefeitura Municipal de Limeira - SP,SP,1706723894.42
1504208,Prefeitura Municipal de Marabá - PA,PA,1686238519.4199998
3513009,Prefeitura Municipal de Cotia - SP,SP,1662860080.22
4314407,Prefeitura Municipal de Pelotas - RS,RS,1597336495.61
4202008,Prefeitura Municipal de Balneário Camboriú - SC,SC,1593154831.9199998
5003702,Prefeitura Municipal de Dourados - MS,MS,1588981508.13
2504009,Prefeitura Municipal de Campina Grande - PB,PB,1582480171.4
4204202,Prefeitura Municipal de Chapecó - SC,SC,1571528146.6100001
4119905,Prefeitura Municipal de Ponta Grossa - PR,PR,1568831464.19
3503208,Prefeitura Municipal de Araraquara - SP,SP,1564973367.51
3300704,Prefeitura Municipal de Cabo Frio - RJ,RJ,1547376800.88
2611101,Prefeitura Municipal de Petrolina - PE,PE,1520103734.14
3201308,Prefeitura Municipal de Cariacica - ES,ES,1513881348.4199998
3519071,Prefeitura Municipal de Hortolândia - SP,SP,1513713354.39
3551009,Prefeitura Municipal de São Vicente - SP,SP,1512907714.6000001
3548906,Prefeitura Municipal de São Carlos - SP,SP,1464847320.29
4313409,Prefeitura Municipal de Novo Hamburgo - RS,RS,1463264605.3799999
3131307,Prefeitura Municipal de Ipatinga - MG,MG,1461446200.1399999
3127701,Prefeitura Municipal de Governador Valadares - MG,MG,1459639335.19
3529005,Prefeitura Municipal de Marília - SP,SP,1453068813.1
3144805,Prefeitura Municipal de Nova Lima - MG,MG,1449805801.1499999
3524402,Prefeitura Municipal de Jacareí - SP,SP,1438009886.23
4216602,Prefeitura Municipal de São José - SC,SC,1426580140.27
3552502,Prefeitura Municipal de Suzano - SP,SP,1423004024.25
4318705,Prefeitura Municipal de São Leopoldo - RS,RS,1397001618.18
2303709,Prefeitura Municipal de Caucaia - CE,CE,1382965252.07
3501608,Prefeitura Municipal de Americana - SP,SP,1368870174.01
1500800,Prefeitura Municipal de Ananindeua - PA,PA,1368027604.48
3516200,Prefeitura Municipal de Franca - SP,SP,1356790849.22
2604106,Prefeitura Municipal de Caruaru - PE,PE,1353390619.23
3543907,Prefeitura Municipal de Rio Claro - SP,SP,1351446314.19
1506807,Prefeitura Municipal de Santarém - PA,PA,1349114248.1200001
2933307,Prefeitura Municipal de Vitória da Conquista - BA,BA,1336320087.6899998
2307650,Prefeitura Municipal de Maracanaú - CE,CE,1335245987.9
3523909,Prefeitura Municipal de Itu - SP,SP,1333828751.0
3167202,Prefeitura Municipal de Sete Lagoas - MG,MG,1324347345.6
4208906,Prefeitura Municipal de Jaraguá do Sul - SC,SC,1324031697.24
4204608,Prefeitura Municipal de Criciúma - SC,SC,1323231798.0
3300456,Prefeitura Municipal de Belford Roxo - RJ,RJ,1303691246.6399999
3515004,Prefeitura Municipal de Embu das Artes - SP,SP,1302411506.71
2602902,Prefeitura Municipal de Cabo de Santo Agostinho - PE,PE,1301256509.92
3552403,Prefeitura Municipal de Sumaré - SP,SP,1272906850.7
4309209,Prefeitura Municipal de Gravataí - RS,RS,1266736519.56
5008305,Prefeitura Municipal de Três Lagoas - MS,MS,1265334745.03
3152501,Prefeitura Municipal de Pouso Alegre - MG,MG,1265068320.76
5108402,Prefeitura Municipal de Várzea Grande - MT,MT,1260978530.2299998
3131703,Prefeitura Municipal de Itabira - MG,MG,1245552056.59
4118204,Prefeitura Municipal de Paranaguá - PR,PR,1231786177.58
3151800,Prefeitura Municipal de Poços de Caldas - MG,MG,1214710526.44
5107909,Prefeitura Municipal de Sinop - MT,MT,1199640754.47
2408003,Prefeitura Municipal de Mossoró - RN,RN,1192750851.6599998
4316907,Prefeitura Municipal de Santa Maria - RS,RS,1192314084.7900002
3541406,Prefeitura Municipal de Presidente Prudente - SP,SP,1190475659.6499999
3523107,Prefeitura Municipal de Itaquaquecetuba - SP,SP,1189329341.9399998
2105302,Prefeitura Municipal de Imperatriz - MA,MA,1178403649.8400002
2312908,Prefeitura Municipal de Sobral - CE,CE,1176402879.23
3552809,Prefeitura Municipal de Taboão da Serra - SP,SP,1163477094.35
4211900,Prefeitura Municipal de Palhoça - SC,SC,1160107806.54
3522505,Prefeitura Municipal de Itapevi - SP,SP,1159295776.07
2918407,Prefeitura Municipal de Juazeiro - BA,BA,1155070243.48
3504107,Prefeitura Municipal de Atibaia - SP,SP,1154199894.4399998
3203205,Prefeitura Municipal de Linhares - ES,ES,1152583249.78
3304524,Prefeitura Municipal de Rio das Ostras - RJ,RJ,1146880924.99
3510500,Prefeitura Municipal de Caraguatatuba - SP,SP,1134142787.07
4315602,Prefeitura Municipal de Rio Grande - RS,RS,1133087141.1000001
4314100,Prefeitura Municipal de Passo Fundo - RS,RS,1123195525.79
3122306,Prefeitura Municipal de Divinópolis - MG,MG,1108103276.81
2609600,Prefeitura Municipal de Olinda - PE,PE,1083595646.1100001
3509205,Prefeitura Municipal de Cajamar - SP,SP,1080851092.69
4127700,Prefeitura Municipal de Toledo - PR,PR,1068759434.1
3118007,Prefeitura Municipal de Congonhas - MG,MG,1066776103.6
3556206,Prefeitura Municipal de Valinhos - SP,SP,1066527848.05
3300209,Prefeitura Municipal de Araruama - RJ,RJ,1057184112.48
2700300,Prefeitura Municipal de Arapiraca - AL,AL,1056390212.29
3302007,Prefeitura Municipal de Itaguaí - RJ,RJ,1051265825.18
2919207,Prefeitura Municipal de Lauro de Freitas - BA,BA,1046375808.1500001
3538006,Prefeitura Municipal de Pindamonhangaba - SP,SP,1046223203.8299999
2929206,Prefeitura Municipal de São Francisco do Conde - BA,BA,1045684846.22
3502804,Prefeitura Municipal de Araçatuba - SP,SP,1037069726.5999999
3520400,Prefeitura Municipal de Ilhabela - SP,SP,1037054219.83
3305109,Prefeitura Municipal de São João de Meriti - RJ,RJ,1033625742.5699999
3304201,Prefeitura Municipal de Resende - RJ,RJ,1030170533.2099999
5220454,Prefeitura Municipal de Senador Canedo - GO,GO,1029692895.99
3154606,Prefeitura Municipal de Ribeirão das Neves - MG,MG,1025661601.1600001
2307304,Prefeitura Municipal de Juazeiro do Norte - CE,CE,1022402374.8000001
3301900,Prefeitura Municipal de Itaboraí - RJ,RJ,1016534061.73
4109401,Prefeitura Municipal de Guarapuava - PR,PR,1002529323.4599999
3507605,Prefeitura Municipal de Bragança Paulista - SP,SP,997536815.1500001
4209300,Prefeitura Municipal de Lages - SC,SC,986488185.5
3505500,Prefeitura Municipal de Barretos - SP,SP,983530294.01
4105805,Prefeitura Municipal de Colombo - PR,PR,974250004.81
3305802,Prefeitura Municipal de Teresópolis - RJ,RJ,974214094.7
5003207,Prefeitura Municipal de Corumbá - MS,MS,970101500.36
1702109,Prefeitura Municipal de Araguaína - TO,TO,937075382.05
3510609,Prefeitura Municipal de Carapicuíba - SP,SP,932872120.39
3306305,Prefeitura Municipal de Volta Redonda - RJ,RJ,931585814.6600001
3131901,Prefeitura Municipal de Itabirito - MG,MG,923523383.7500001
3302502,Prefeitura Municipal de Magé - RJ,RJ,912134753.16
2914802,Prefeitura Municipal de Itabuna - BA,BA,911481166.74
5107925,Prefeitura Municipal de Sorriso - MT,MT,910513724.13
3545803,Prefeitura Municipal de Santa Bárbara d'Oeste - SP,SP,910278716.0
3201209,Prefeitura Municipal de Cachoeiro de Itapemirim - ES,ES,908917954.3
3506359,Prefeitura Municipal de Bertioga - SP,SP,905494777.7900001
2403251,Prefeitura Municipal de Parnamirim - RN,RN,900990575.73
1501303,Prefeitura Municipal de Barcarena - PA,PA,896300610.46
3556701,Prefeitura Municipal de Vinhedo - SP,SP,894591864.5999999
3300407,Prefeitura Municipal de Barra Mansa - RJ,RJ,894007946.97
3305000,Prefeitura Municipal de São João da Barra - RJ,RJ,889491441.5699999
2903201,Prefeitura Municipal de Barreiras - BA,BA,884557494.24
3303401,Prefeitura Municipal de Nova Friburgo - RJ,RJ,883723383.72
3148004,Prefeitura Municipal de Patos de Minas - MG,MG,881413519.99
3530706,Prefeitura Municipal de Mogi Guaçu - SP,SP,874294635.73
2925303,Prefeitura Municipal de Porto Seguro - BA,BA,864234890.74
3503307,Prefeitura Municipal de Araras - SP,SP,863228051.8000001
2610707,Prefeitura Municipal de Paulista - PE,PE,861236164.06
3551702,Prefeitura Municipal de Sertãozinho - SP,SP,860006325.84
4316808,Prefeitura Municipal de Santa Cruz do Sul - RS,RS,856452556.8299999
2606200,Prefeitura Municipal de Goiana - PE,PE,852577445.83
4323002,Prefeitura Municipal de Viamão - RS,RS,851587509.32
2919553,Prefeitura Municipal de Luís Eduardo Magalhães - BA,BA,846271932.38
3109006,Prefeitura Municipal de Brumadinho - MG,MG,837940977.2099999
3200607,Prefeitura Municipal de Aracruz - ES,ES,831559065.0200001
3157807,Prefeitura Municipal de Santa Luzia - MG,MG,831525142.0
2111201,Prefeitura Municipal de São José de Ribamar - MA,MA,821924646.08
4202909,Prefeitura Municipal de Brusque - SC,SC,819656252.09
2913606,Prefeitura Municipal de Ilhéus - BA,BA,817480990.3399999
4303103,Prefeitura Municipal de Cachoeirinha - RS,RS,817184761.8399999
5205109,Prefeitura Municipal de Catalão - GO,GO,811957239.98
3104007,Prefeitura Municipal de Araxá - MG,MG,808811812.58
4119152,Prefeitura Municipal de Pinhais - PR,PR,807665330.82
3522307,Prefeitura Municipal de Itapetininga - SP,SP,802760015.76
3140001,Prefeitura Municipal de Mariana - MG,MG,793460374.61
4302105,Prefeitura Municipal de Bento Gonçalves - RS,RS,787525306.66
5212501,Prefeitura Municipal de Luziânia - GO,GO,782647260.07
3146107,Prefeitura Municipal de Ouro Preto - MG,MG,773212678.6300001
1502400,Prefeitura Municipal de Castanhal - PA,PA,764334551.1
4300604,Prefeitura Municipal de Alvorada - RS,RS,763138295.4699999
3147006,Prefeitura Municipal de Paracatu - MG,MG,757399274.4799999
3524709,Prefeitura Municipal de Jaguariúna - SP,SP,756517987.03
3201506,Prefeitura Municipal de Colatina - ES,ES,755308128.69
3507506,Prefeitura Municipal de Botucatu - SP,SP,753684416.78
3523404,Prefeitura Municipal de Itatiba - SP,SP,746271163.4200001
3117504,Prefeitura Municipal de Conceição do Mato Dentro - MG,MG,745149504.6600001
3511102,Prefeitura Municipal de Catanduva - SP,SP,735579432.23
5105259,Prefeitura Municipal de Lucas do Rio Verde - MT,MT,734680891.6
3103504,Prefeitura Municipal de Araguari - MG,MG,731783133.4399999
2918001,Prefeitura Municipal de Jequié - BA,BA,728205567.8100001
3522208,Prefeitura Municipal de Itapecerica da Serra - SP,SP,726443246.03
4128104,Prefeitura Municipal de Umuarama - PR,PR,725879467.8199999
4309308,Prefeitura Municipal de Guaíba - RS,RS,712734589.16
2103000,Prefeitura Municipal de Caxias - MA,MA,711078475.95
3125101,Prefeitura Municipal de Extrema - MG,MG,711031707.32
5221858,Prefeitura Municipal de Valparaíso de Goiás - GO,GO,710297986.22
3527306,Prefeitura Municipal de Louveira - SP,SP,710289495.04
5211909,Prefeitura Municipal de Jataí - GO,GO,702367568.5400001
3545209,Prefeitura Municipal de Salto - SP,SP,700820636.87
2900702,Prefeitura Municipal de Alagoinhas - BA,BA,700663390.29
3168606,Prefeitura Municipal de Teófilo Otoni - MG,MG,695292250.89
3530805,Prefeitura Municipal de Mogi Mirim - SP,SP,691480286.61
4104204,Prefeitura Municipal de Campo Largo - PR,PR,688732589.43
4311403,Prefeitura Municipal de Lajeado - RS,RS,688101502.17
3525300,Prefeitura Municipal de Jaú - SP,SP,688063611.14
4320008,Prefeitura Municipal de Sapucaia do Sul - RS,RS,687825206.03
2930709,Prefeitura Municipal de Simões Filho - BA,BA,685608153.12
4101507,Prefeitura Municipal de Arapongas - PR,PR,676276019.13
3300258,Prefeitura Municipal de Arraial do Cabo - RJ,RJ,674834530.99
2306405,Prefeitura Municipal de Itapipoca - CE,CE,671078969.53
3129806,Prefeitura Municipal de Ibirité - MG,MG,671061610.5500001
4310207,Prefeitura Municipal de Ijuí - RS,RS,670662359.78
3148103,Prefeitura Municipal de Patrocínio - MG,MG,669332215.34
2906501,Prefeitura Municipal de Candeias - BA,BA,668760480.87
4211306,Prefeitura Municipal de Navegantes - SC,SC,665362716.89
4104303,Prefeitura Municipal de Campo Mourão - PR,PR,665270972.84
3516408,Prefeitura Municipal de Franco da Rocha - SP,SP,665152288.8199999
3515707,Prefeitura Municipal de Ferraz de Vasconcelos - SP,SP,664070622.47
5107958,Prefeitura Municipal de Tangará da Serra - MT,MT,661414551.59
2207702,Prefeitura Municipal de Parnaíba - PI,PI,660167509.66
1505502,Prefeitura Municipal de Paragominas - PA,PA,658888041.23
3534708,Prefeitura Municipal de Ourinhos - SP,SP,658233510.8599999
3555406,Prefeitura Municipal de Ubatuba - SP,SP,656342309.34
2112209,Prefeitura Municipal de Timon - MA,MA,655876501.93
5107040,Prefeitura Municipal de Primavera do Leste - MT,MT,652894214.88
2804805,Prefeitura Municipal de Nossa Senhora do Socorro - SE,SE,651828190.76
4107652,Prefeitura Municipal de Fazenda Rio Grande - PR,PR,647050947.48
3105608,Prefeitura Municipal de Barbacena - MG,MG,644725816.75
5211503,Prefeitura Municipal de Itumbiara - GO,GO,643948248.41
2503209,Prefeitura Municipal de Cabedelo - PB,PB,642848400.62
3522109,Prefeitura Municipal de Itanhaém - SP,SP,632060952.74
2312403,Prefeitura Municipal de São Gonçalo do Amarante - CE,CE,631262859.23
4101408,Prefeitura Municipal de Apucarana - PR,PR,630725836.87
2931350,Prefeitura Municipal de Teixeira de Freitas - BA,BA,630681151.3199999
1500602,Prefeitura Municipal de Altamira - PA,PA,625513691.32
3506508,Prefeitura Municipal de Birigui - SP,SP,625098733.35
3557006,Prefeitura Municipal de Votorantim - SP,SP,623748217.8399999
1503606,Prefeitura Municipal de Itaituba - PA,PA,620410780.1500001
3302858,Prefeitura Municipal de Mesquita - RJ,RJ,617068963.1
4118501,Prefeitura Municipal de Pato Branco - PR,PR,615503334.31
3302601,Prefeitura Municipal de Mangaratiba - RJ,RJ,612926227.1
3554003,Prefeitura Municipal de Tatuí - SP,SP,612299859.32
2304285,Prefeitura Municipal de Eusébio - CE,CE,610615245.73
5200258,Prefeitura Municipal de Águas Lindas de Goiás - GO,GO,609667692.29
3503901,Prefeitura Municipal de Arujá - SP,SP,607109319.2
3526704,Prefeitura Municipal de Leme - SP,SP,606917830.38
4215802,Prefeitura Municipal de São Bento do Sul - SC,SC,603994384.12
5213103,Prefeitura Municipal de Mineiros - GO,GO,602532960.98
1100304,Prefeitura Municipal de Vilhena - RO,RO,599863475.0200001
4216206,Prefeitura Municipal de São Francisco do Sul - SC,SC,598426878.57
3524006,Prefeitura Municipal de Itupeva - SP,SP,597703346.99
3549102,Prefeitura Municipal de São João da Boa Vista - SP,SP,592688813.3100001
4301602,Prefeitura Municipal de Bagé - RS,RS,590811736.31
3301306,Prefeitura Municipal de Casimiro de Abreu - RJ,RJ,587930670.8000001
3504008,Prefeitura Municipal de Assis - SP,SP,587248688.2199999
3202405,Prefeitura Municipal de Guarapari - ES,ES,587174114.4200001
1501808,Prefeitura Municipal de Breves - PA,PA,586902367.21
3302205,Prefeitura Municipal de Itaperuna - RJ,RJ,580737397.65
3518404,Prefeitura Municipal de Guaratinguetá - SP,SP,579655605.28
4208302,Prefeitura Municipal de Itapema - SC,SC,579077333.12
3516309,Prefeitura Municipal de Francisco Morato - SP,SP,578831778.43
3522406,Prefeitura Municipal de Itapeva - SP,SP,576170755.71
3300233,Prefeitura Municipal de Armação dos Búzios - RJ,RJ,573327398.1600001
1508100,Prefeitura Municipal de Tucuruí - PA,PA,572267527.41
2100055,Prefeitura Municipal de Açailândia - MA,MA,571883121.5400001
2616407,Prefeitura Municipal de Vitória de Santo Antão - PE,PE,571762839.33
3204906,Prefeitura Municipal de São Mateus - ES,ES,570201555.49
1100122,Prefeitura Municipal de Ji-Paraná - RO,RO,569088460.63
2603454,Prefeitura Municipal de Camaragibe - PE,PE,567010360.73
4317202,Prefeitura Municipal de Santa Rosa - RS,RS,565752114.17
3156700,Prefeitura Municipal de Sabará - MG,MG,565530430.26
3557105,Prefeitura Municipal de Votuporanga - SP,SP,562368799.49
3306008,Prefeitura Municipal de Três Rios - RJ,RJ,560698214.29
3134202,Prefeitura Municipal de Ituiutaba - MG,MG,560133361.62
5006606,Prefeitura Municipal de Ponta Porã - MS,MS,559344125.88
3550605,Prefeitura Municipal de São Roque - SP,SP,558786557.95
5106224,Prefeitura Municipal de Nova Mutum - MT,MT,558762627.61
4307005,Prefeitura Municipal de Erechim - RS,RS,557487039.7
4103701,Prefeitura Municipal de Cambé - PR,PR,556716965.24
4204301,Prefeitura Municipal de Concórdia - SC,SC,555879372.72
1500107,Prefeitura Municipal de Abaetetuba - PA,PA,555177948.17
2304202,Prefeitura Municipal de Crato - CE,CE,553881234.6899999
4108403,Prefeitura Municipal de Francisco Beltrão - PR,PR,553689889.01
4119509,Prefeitura Municipal de Piraquara - PR,PR,552634871.5500001
1100023,Prefeitura Municipal de Ariquemes - RO,RO,551821488.03
3304144,Prefeitura Municipal de Queimados - RJ,RJ,548033866.5600001
3171204,Prefeitura Municipal de Vespasiano - MG,MG,545364282.2
3143906,Prefeitura Municipal de Muriaé - MG,MG,542662155.27
1709500,Prefeitura Municipal de Gurupi - TO,TO,539792110.79
4304630,Prefeitura Municipal de Capão da Canoa - RS,RS,537270445.27
3303203,Prefeitura Municipal de Nilópolis - RJ,RJ,535987435.2
2606002,Prefeitura Municipal de Garanhuns - PE,PE,533123732.71999997
3170404,Prefeitura Municipal de Unaí - MG,MG,530689168.16
2101400,Prefeitura Municipal de Balsas - MA,MA,530507719.72
3304151,Prefeitura Municipal de Quissamã - RJ,RJ,529204268.22
3525003,Prefeitura Municipal de Jandira - SP,SP,528998694.75
1302504,Prefeitura Municipal de Manacapuru - AM,AM,528262866.16
3133808,Prefeitura Municipal de Itaúna - MG,MG,528248231.01000005
5204508,Prefeitura Municipal de Caldas Novas - GO,GO,526442391.02000004
3509007,Prefeitura Municipal de Caieiras - SP,SP,525241099.13
3543303,Prefeitura Municipal de Ribeirão Pires - SP,SP,524632711.44
4309100,Prefeitura Municipal de Gramado - RS,RS,524533003.93
3118304,Prefeitura Municipal de Conselheiro Lafaiete - MG,MG,521947915.28999996
3205101,Prefeitura Municipal de Viana - ES,ES,520442606.84000003
4322400,Prefeitura Municipal de Uruguaiana - RS,RS,519291199.31
4105508,Prefeitura Municipal de Cianorte - PR,PR,518271693.56
3303807,Prefeitura Municipal de Paraty - RJ,RJ,516480221.84
3540606,Prefeitura Municipal de Porto Feliz - SP,SP,516403577.05
4307708,Prefeitura Municipal de Esteio - RS,RS,516387261.21999997
3528502,Prefeitura Municipal de Mairiporã - SP,SP,516273405.58000004
2513703,Prefeitura Municipal de Santa Rita - PB,PB,513679172.06
3526803,Prefeitura Municipal de Lençóis Paulista - SP,SP,512013524.15999997
3161908,Prefeitura Municipal de São Gonçalo do Rio Abaixo - MG,MG,509912170.66999996
3501905,Prefeitura Municipal de Amparo - SP,SP,508352056.33
2910727,Prefeitura Municipal de Eunápolis - BA,BA,505315536.21
3504503,Prefeitura Municipal de Avaré - SP,SP,505027550.55
3524303,Prefeitura Municipal de Jaboticabal - SP,SP,503761342.11
4203204,Prefeitura Municipal de Camboriú - SC,SC,503383983.16
3522604,Prefeitura Municipal de Itapira - SP,SP,502735755.43
3147105,Prefeitura Municipal de Pará de Minas - MG,MG,501491664.05
2107506,Prefeitura Municipal de Paço do Lumiar - MA,MA,501332215.43
4214805,Prefeitura Municipal de Rio do Sul - SC,SC,501077712.19
4322004,Prefeitura Municipal de Triunfo - RS,RS,500617088.05
4207502,Prefeitura Municipal de Indaial - SC,SC,500265514.02
3147907,Prefeitura Municipal de Passos - MG,MG,499330181.85
3145208,Prefeitura Municipal de Nova Serrana - MG,MG,499283493.15
4307906,Prefeitura Municipal de Farroupilha - RS,RS,496181851.24999994
4118402,Prefeitura Municipal de Paranavaí - PR,PR,493700578.62
4126256,Prefeitura Municipal de Sarandi - PR,PR,493650965.68
4127106,Prefeitura Municipal de Telêmaco Borba - PR,PR,493295401.46000004
3202801,Prefeitura Municipal de Itapemirim - ES,ES,493084848.53999996
2301000,Prefeitura Municipal de Aquiraz - CE,CE,492820891.37
3101607,Prefeitura Municipal de Alfenas - MG,MG,492527985.49
4218707,Prefeitura Municipal de Tubarão - SC,SC,489990555.79
1301209,Prefeitura Municipal de Coari - AM,AM,489958184.69
1504422,Prefeitura Municipal de Marituba - PA,PA,488841150.14
2412005,Prefeitura Municipal de São Gonçalo do Amarante - RN,RN,488661558.77
3204302,Prefeitura Municipal de Presidente Kennedy - ES,ES,486967408.99
3305208,Prefeitura Municipal de São Pedro da Aldeia - RJ,RJ,486632253.75
3533908,Prefeitura Municipal de Olímpia - SP,SP,485819429.86999995
3539806,Prefeitura Municipal de Poá - SP,SP,483645278.35
3506102,Prefeitura Municipal de Bebedouro - SP,SP,483345880.52000004
3138203,Prefeitura Municipal de Lavras - MG,MG,481703377.79
3556503,Prefeitura Municipal de Várzea Paulista - SP,SP,480208752.6
3508504,Prefeitura Municipal de Caçapava - SP,SP,477695149.75
1303403,Prefeitura Municipal de Parintins - AM,AM,477619749.82
2928901,Prefeitura Municipal de São Desidério - BA,BA,477095476.90999997
3529302,Prefeitura Municipal de Matão - SP,SP,476566725.27000004
